farmer_id,name,phone,village,district,lat,lon,language_pref
1,Ramesh Patil,9876543210,Dindori,Nashik,20.07,73.85,mr
2,Shyam Patil,9364967119,Chandur,Pune,18.4432,73.8145,mr
3,Sunil Nikam,9757422748,Kurkumbh,Solapur,17.5705,75.8611,mr
4,Nanasaheb Sharma,9135955884,Karad,Pune,18.3612,73.7545,mr
5,Machhindra Mhaske,9925813158,Ashta,Kolhapur,16.8335,74.3529,mr
6,Sopan Nikam,9513733802,Shikrapur,Pune,18.5747,73.984,mr
7,Ramesh Kadam,9709315523,Biloli,Kolhapur,16.6267,74.3381,mr
8,Manisha Bhalerao,9838237978,Kurkumbh,Pune,18.3765,73.9213,mr
9,Ramesh Wankhede,9655007147,Tempale,Ahmednagar,19.1285,74.8618,mr
10,Kailas Kadam,9205143332,Chandur,Solapur,17.6829,75.8461,mr
11,Mangesh Khairnar,9329109523,Patur,Nanded,19.0215,77.2306,mr
12,Gorakh Dhage,9758188832,Kavathe,Pune,18.4628,73.8097,mr
13,Hiralal Shinde,9777827417,Kavathe,Pune,18.5226,73.9392,mr
14,Mangesh Pawar,9794387997,Kalwan,Akola,20.579,76.8854,hi
15,Kailas Ingle,9826339585,Nanaj,Solapur,17.5526,75.8041,mr
16,Machhindra Patil,9823933939,Dindori,Pune,18.4228,73.7908,mr
17,Dattatray Meshram,9256500566,Patur,Jalgaon,21.0087,75.4613,hi
18,Bhaskar Meshram,9593966005,Kalmeshwar,Solapur,17.5757,75.8442,mr
19,Dnyaneshwar Salunkhe,9875085939,Chandur,Aurangabad,19.9342,74.7883,mr
20,Sanjay Kshirsagar,9281072372,Karad,Aurangabad,20.0225,74.8083,mr
21,Dnyaneshwar Jadhav,9354504841,Baramati,Sangli,16.7048,74.4742,mr
22,Eknath More,9174347013,Niphad,Kolhapur,16.7034,74.1764,mr
23,Pandurang Gaikwad,9513616151,Niphad,Pune,18.5337,73.9956,mr
24,Vandana Bagul,9123138181,Chopda,Nashik,20.2161,74.3277,mr
25,Eknath Wable,9412591237,Ozar,Nagpur,21.1847,79.2363,hi
26,Ashok Patil,9838358329,Tempale,Aurangabad,20.0088,74.665,mr
27,Dnyaneshwar Kadam,9619628345,Pimpalgaon,Akola,20.7106,76.8796,hi
28,Rameshwar Jadhav,9500488012,Partur,Nashik,20.2056,74.4232,mr
29,Shyam Thorat,9719465974,Patur,Nashik,20.2059,74.2593,mr
30,Gorakh Wankhede,9946098237,Shikrapur,Solapur,17.5333,75.9843,mr
31,Gorakh Ingle,9875975182,Kalmeshwar,Kolhapur,16.7016,74.2676,mr
32,Madhukar Bhosale,9882887726,Dindori,Kolhapur,16.5553,74.2121,mr
33,Balasaheb Khairnar,9445937013,Sakri,Satara,17.65,74.1079,mr
34,Dipak Kale,9760084777,Dindori,Pune,18.4891,73.9728,mr
35,Devendra Sharma,9841713664,Kalwan,Kolhapur,16.8532,74.1146,mr
36,Rangnath Bhalerao,9571650457,Kamptee,Amravati,20.8638,77.6693,hi
37,Dnyaneshwar Bhalerao,9607622746,Supa,Aurangabad,19.9573,74.8741,mr
38,Dattatray Wankhede,9548852459,Nilanga,Jalna,19.7488,75.7731,mr
39,Dattatray Bhoir,9170260566,Nanaj,Latur,18.2692,76.6023,mr
40,Sunil Sonawane,9589377863,Dindori,Akola,20.5981,77.1128,hi
41,Ashok Khade,9840357203,Kamptee,Satara,17.7585,74.0039,mr
42,Tukaram Mhaske,9706017836,Chandur,Nashik,20.064,74.2675,mr
43,Dattatray Mhaske,9634757553,Hatkanangale,Solapur,17.7744,76.0505,mr
44,Sopan Mhaske,9127107778,Kagal,Nashik,20.1052,74.1983,mr
45,Ramkrishna More,9958182715,Chopda,Pune,18.3747,73.9122,mr
46,Machhindra Kshirsagar,9150469207,Chandwad,Pune,18.5486,73.7545,mr
47,Ramesh Chavan,9648540795,Kalmeshwar,Latur,18.4369,76.5703,mr
48,Ganesh Bhoir,9257258396,Kalmeshwar,Dhule,20.7973,74.6554,mr
49,Ashok Sable,9761995408,Wadgaon,Dhule,20.9917,74.6842,mr
50,Rangnath Gaikwad,9457143194,Barshitakli,Dhule,20.8451,74.7097,mr
51,Rohit Khade,9137989133,Kagal,Nagpur,21.1734,79.2369,hi
52,Vandana Thorat,9556143202,Patur,Nagpur,21.1587,78.9662,hi
53,Rameshwar Sonawane,9212011195,Hatkanangale,Jalna,19.8671,75.7718,mr
